Boozer Name & Address,Region,Part of London,Outside Space,coal,postcode,lat,lng
"Cock And Bottle, 17 Needham Rd, London W11 2RP",W,Notting Hill,Space at Front,"Cock And Bottle, 17 Needham Rd, London W11 2RP",W11 2RP,51.515201,-0.197483
"Smith's Bar and Grill, 25 Sheldon Square, London W2 6EY",W,Paddington,Canal,"Smith's Bar and Grill, 25 Sheldon Square, London W2 6EY",W2 6EY,51.519172,-0.179193
"Duke Of Kendal, 38 Connaught St, London W2 2AF",W,Paddington,Space at Front,"Duke Of Kendal, 38 Connaught St, London W2 2AF",W2 2AF,51.51468,-0.165705
"Prince of Wales, 2 Cleveland Terrace, London W2 6LH",W,Paddington,Space at Front,"Prince of Wales, 2 Cleveland Terrace, London W2 6LH",W2 6LH,51.516955,-0.180157
"The Pavilion, North Pole Road, London W12 0HQ",W,Shepherd's Bush,Space at Front,"The Pavilion, North Pole Road, London W12 0HQ",W12 0HQ,51.518573,-0.227715
"The Bird In Hand, 88 Masbro Road,, London W14 0LR",W,Shepherd's Bush,Space at Front,"The Bird In Hand, 88 Masbro Road,, London W14 0LR",W14 0LR,51.499929,-0.215673
"The Clachan, 34 Kingly St, Carnaby, London W1B 5QH",W,Soho,Pedestrian/Spill,"The Clachan, 34 Kingly St, Carnaby, London W1B 5QH",W1B 5QH,51.513532,-0.140213
"Shakespeares Head, 29 Great Marlborough St, London W1F 7HZ",W,Soho,Pedestrian/Spill,"Shakespeares Head, 29 Great Marlborough St, London W1F 7HZ",W1F 7HZ,51.513657,-0.139603
"Red Lion, 14 Kingly St, London W1B 5PR",W,Soho,Pedestrian/Spill,"Red Lion, 14 Kingly St, London W1B 5PR",W1B 5PR,51.512731,-0.139064
"John Snow, 39 Broadwick St, London W1F 9QJ",W,Soho,Pedestrian/Spill,"John Snow, 39 Broadwick St, London W1F 9QJ",W1F 9QJ,51.513259,-0.136636
"Blue Posts, 18 Kingly St, Soho, London W1B 5PX",W,Soho,Pedestrian/Spill,"Blue Posts, 18 Kingly St, Soho, London W1B 5PX",W1B 5PX,51.512881,-0.139418
"Argyll Arms, 18 Argyll St, London W1F 7TP",W,Soho,Pedestrian/Spill,"Argyll Arms, 18 Argyll St, London W1F 7TP",W1F 7TP,51.515045,-0.141492
"O'Neill's Carnaby Street, 37-38 Great Marlborough St, London W1F 7JF",W,Soho,Space at Front,"O'Neill's Carnaby Street, 37-38 Great Marlborough St, London W1F 7JF",W1F 7JF,51.514029,-0.139256
"The Bridge House, 13 Westbourne Terrace Rd, London W2 6NG",W,Warwick Avenue,Space at Front,"The Bridge House, 13 Westbourne Terrace Rd, London W2 6NG",W2 6NG,51.520613,-0.184556
"The Jeremy Bentham, 31 University St, London WC1E 6JL",WC,Bloomsbury,Space at Front,"The Jeremy Bentham, 31 University St, London WC1E 6JL",WC1E 6JL,51.523601,-0.135522
"Porterhouse Covent Garden, 21-22 Maiden Ln, London WC2E 7NA",WC,Covent Garden,Space at Front,"Porterhouse Covent Garden, 21-22 Maiden Ln, London WC2E 7NA",WC2E 7NA,51.510676,-0.122964
"Lord John Russell, 91-93 Marchmont St, London WC1N 1AL",WC,Euston,Space at Front,"Lord John Russell, 91-93 Marchmont St, London WC1N 1AL",WC1N 1AL,51.525822,-0.125775
"Swan, 7 Cosmo Pl, London WC1N 3AP",WC,Holborn,Space at Front,"Swan, 7 Cosmo Pl, London WC1N 3AP",WC1N 3AP,51.521184,-0.122719
